Reef,Year,B,P,n_transects,Degree,Region,C_ann,C_warm,mhw_days,mhw_cum,lB,lP,lB_c,C,YearF
ESPIRITU_SANTO_PUNTA_LOBOS,2009,16629.7347136229,14.8489269193297,4,24,La Paz,0.0691088653398841,-0.0199456521739091,26,10.7607,9.7189476197821,2.69792760131313,0.120933963107767,-0.274973408932877,2009
ESPIRITU_SANTO_PUNTA_LOBOS,2010,9704.62720656272,11.4255185903739,4,24,La Paz,-0.210863737399842,-0.745326086956518,13,4.2182,9.18035808235247,2.43584932659249,-0.417655574321859,-1.00035384371549,2010
ESPIRITU_SANTO_PUNTA_LOBOS,2011,10633.9868319449,8.82312566487353,4,24,La Paz,-0.064178805892993,0.733586956521743,46,27.7887,9.27181045576607,2.17737619101211,-0.326203200908266,0.478559199762775,2011
ESPIRITU_SANTO_PUNTA_LOBOS,2012,3404.67898412667,4.94597602070738,4,24,La Paz,-0.21059569285493,0.029782608695656,34,15.5179,8.13290593634966,1.59857432086818,-1.46510772032467,-0.225245148063312,2012
ESPIRITU_SANTO_PUNTA_LOBOS,2013,10904.4118679289,9.30673242131622,4,24,La Paz,-0.41037058671491,-0.335380434782605,0,0,9.29692274485019,2.23073805452878,-0.301090911824142,-0.590408191541573,2013
ESPIRITU_SANTO_PUNTA_LOBOS,2014,8520.7866345099,12.1794927605114,4,24,La Paz,0.975793796846733,1.43021739130435,167,106.8138,9.05026394355551,2.49975361613635,-0.547749713118819,1.17518963454538,2014
ESPIRITU_SANTO_PUNTA_LOBOS,2015,4704.00500401044,8.27713945425495,4,24,La Paz,1.23097187903851,1.36152173913044,185,133.733,8.45616955335563,2.11349743216714,-1.14184410331871,1.10649398237147,2015
ESPIRITU_SANTO_PUNTA_LOBOS,2016,8887.66161871103,6.07191563626821,2,24,La Paz,0.798666602227037,0.276684782608699,181,106.7015,9.09241925889254,1.80367414610158,-0.505594397781792,0.0216570258497313,2016
ESPIRITU_SANTO_PUNTA_LOBOS,2017,6303.96025477005,6.52018706988638,4,24,La Paz,0.402533522874131,0.191195652173917,50,22.1122,8.74893332675421,1.87490306722733,-0.849080329920126,-0.0638321045850507,2017
ESPIRITU_SANTO_PUNTA_LOBOS,2018,18707.9616361596,17.3227309976241,8,24,La Paz,0.321382837942623,0.37309782608696,55,25.8419,9.8367044681787,2.85201956955094,0.238690811504366,0.118070069327992,2018
